Character,Line,Season,Episode
,Season: 1 Episode: 01,1,1
Leslie Knope,Hello.,1,1
Leslie Knope,Hi.,1,1
Leslie Knope,"My name is Leslie Knope, and I work for the Parks and Recreation Department.",1,1
Leslie Knope,Can I ask you a few questions?,1,1
Leslie Knope,"Would you say that you are, ""Enjoying yourself and having fun, having a moderate amount of fun and somewhat enjoying yourself, or having no fun and no enjoyment?""",1,1
Leslie Knope,I'm gonna put a lot of fun.,1,1
Child,"Ms. Knope, there's a drunk stuck in the slide.",1,1
Leslie Knope,"Sir, this is a children's slide.",1,1
Leslie Knope,You're not allowed to sleep in here.,1,1
Extra,What is?,1,1
Leslie Knope,"You know, when I first tell people that I work in the government, they say, ""Oh.""",1,1
Leslie Knope,"""The government.""",1,1
Leslie Knope,"""The government stinks.""",1,1
Leslie Knope,"""The lines are too long at the DMV.""",1,1
Leslie Knope,But now things have changed.,1,1
Leslie Knope,People need our help.,1,1
Leslie Knope,And it feels good to be needed.,1,1
Leslie Knope,Could you put your arms to your side?,1,1
Leslie Knope,And that might help you slide down a little easier.,1,1
Drunk,We don't--,1,1
Leslie Knope,Do you want to come this way?,1,1
Drunk,Uhuh.,1,1
Leslie Knope,"Okay, we're gonna need you to get out.",1,1
Drunk,Can you please go away?,1,1
Leslie Knope,Get out of the slide.,1,1
Leslie Knope,Okay?,1,1
Drunk,You're Can you please go away?,1,1
Leslie Knope,Here we go!,1,1
Leslie Knope,"Okay, wake up.",1,1
Leslie Knope,Here we go.,1,1
Leslie Knope,Out of the slide.,1,1
Leslie Knope,"You know, government isn't just a boys' club anymore.",1,1
Leslie Knope,Women are everywhere.,1,1
Leslie Knope,It's a great time to be a woman in politics.,1,1
Leslie Knope,"Hillary Clinton, Sarah Palin, me, Nancy Pelosi.",1,1
Leslie Knope,We did it!,1,1
Leslie Knope,"You know, I like to tell people, you know, ""Get on board and buckle up, because my ride's gonna be a big one.""",1,1
Leslie Knope,"And if you get motion sickness, you know, put your head between your knees 'cause Leslie Knope's stopping for no one.",1,1
Ron Swanson,Tonight is our next monthly community outreach public forum.,1,1
Leslie Knope,And that is tonight.,1,1
Ron Swanson,That is tonight.,1,1
Leslie Knope,Right.,1,1
Ron Swanson,Leslie will be running it.,1,1
Ron Swanson,And we need one more.,1,1
Ron Swanson,Who wants in?,1,1
Ron Swanson,Tom.,1,1
Tom Haverford,Fine.,1,1
Leslie Knope,This is a great thing for you guys to see.,1,1
Leslie Knope,This is where the rubber of government meets the road of actual human beings.,1,1
Leslie Knope,"When I go through these doors, I need to be on.",1,1
Leslie Knope,Like the White House Press Secretary.,1,1
Leslie Knope,Are you ready?,1,1
Tom Haverford,Yeah.,1,1
Leslie Knope,Okay.,1,1
Leslie Knope,Here we go.,1,1
Leslie Knope,It's locked.,1,1
Leslie Knope,Okay.,1,1
Leslie Knope,Here we go.,1,1
Leslie Knope,Thank you so much for coming.,1,1
Leslie Knope,What an amazing turnout.,1,1
Leslie Knope,My name is Leslie Knope.,1,1
Leslie Knope,"I am the deputy director of the Parks and Recreation Department, and tonight we're gonna be taking some of your questions as--",1,1
Leslie Knope,Hello?,1,1
Leslie Knope,We're having a meeting in here.,1,1
Tom Haverford,Does anybody have any questions about permits?,1,1
Leslie Knope,"So, take two.",1,1
Leslie Knope,"I'm Leslie Knope, and with me is department member Tom Haverford.",1,1
Leslie Knope,"We are here to answer any and all of your questions, so fire away.",1,1
Extra,"Well, it's a great day, because last month they put me in jail.",1,1
Extra,That's right.,1,1
Extra,The head of the police is a ninth degree Mason.,1,1
Extra,But the music is so loud.,1,1
Extra,"Stop the graffiti, please.",1,1
Extra,Please.,1,1
Leslie Knope,I don't like obscenities just as much as you don't like them.,1,1
Extra,"No, it drives me crazy.",1,1
Extra,I have kids.,1,1
Leslie Knope,Right.,1,1
Extra,"But I've got my little three year old, I'm going through the park and someone's like, ""Hey [bleep] my [bleep]"" And the guy's, ""You [bleep] my [bleep], you [bleep] head.""",1,1
Leslie Knope,"These people are members of a community that care about where they live, so what I hear when I'm being yelled at is people caring loudly at me.",1,1
Extra,"Now, I have a few things I want to say about Laura Linney.",1,1
Leslie Knope,"Thank you so much, Barry.",1,1
Leslie Knope,Always great to have you here.,1,1
Leslie Knope,Anyone else who would like to contribute?,1,1
Ann Perkins,Hi.,1,1
Ann Perkins,"Hi, hi.",1,1
Ann Perkins,Hi.,1,1
Ann Perkins,I'm Ann Perkins.,1,1
Ann Perkins,"I'm a nurse, and frankly, I don't really care for politics, but I'm here to talk about the abandoned lot on Sullivan Street.",1,1
Leslie Knope,Excellent.,1,1
Leslie Knope,That sounds like a good idea.,1,1
Leslie Knope,Tell us about that.,1,1
Ann Perkins,"No, it's a problem.",1,1
Ann Perkins,It almost killed my boyfriend.,1,1
Leslie Knope,Oh.,1,1
Ann Perkins,Yeah.,1,1
Ann Perkins,"There's a lot nearby my house, and a developer dug out a basement for some condos, and then they went bankrupt, so there's just this giant pit, and it's been there for almost a year.",1,1
Leslie Knope,"Twelve months, yes.",1,1
Leslie Knope,Go on.,1,1
Ann Perkins,"Yeah, and my boyfriend, who is a musician, actually, I support him, but anyway, he fell in and broke both his legs.",1,1
Tom Haverford,"Ann, let me speak with you for a minute.",1,1
Tom Haverford,"So, your boyfriend fell down into this pit, right?",1,1
Ann Perkins,Yes.,1,1
Tom Haverford,"And, this guy, is it pretty serious?",1,1
Tom Haverford,Are you guys living together?,1,1
Ann Perkins,Yes.,1,1
Tom Haverford,"Wow, I'm sure this must be really tough for you.",1,1
Tom Haverford,"You know, just, this guy, sounds like he didn't have a lot going on for him to start with, and now both legs broken.",1,1
Tom Haverford,He's just weak.,1,1
Tom Haverford,You have to take care of him.,1,1
Tom Haverford,You probably feel like you need to move on.,1,1
Ann Perkins,What does this--,1,1
Tom Haverford,"Just become more adventurous in relationships with your body, just in",1,1
Ann Perkins,Are you actually hitting on me right now?,1,1
Tom Haverford,Oh.,1,1
Tom Haverford,Oh.,1,1
Tom Haverford,"God, no.",1,1
Tom Haverford,I'm not hitting on you.,1,1
Tom Haverford,I'm actually married.,1,1
Tom Haverford,"I'm just an open person, and I like connecting with people.",1,1
Tom Haverford,"I'm, you know, very comfortable around women, attractive women.",1,1
Tom Haverford,I've spent a lot of time with them.,1,1
Tom Haverford,And I just-- I don't know.,1,1
Tom Haverford,I feel like we might be taking up too much of the forum's time.,1,1
Tom Haverford,Maybe we can just exchange numbers.,1,1
Tom Haverford,"You know, maybe go away one weekend and just kind of talk about this.",1,1
Ann Perkins,Look --,1,1
Tom Haverford,I'd love to do it.,1,1
Ann Perkins,"The bottom line is I've been trying to get this thing fixed for months, and nobody's done anything, and it's ugly, and it's dangerous, and it's government owned, and you need to do something about it.",1,1
Leslie Knope,Okay.,1,1
Leslie Knope,I'll do something about it.,1,1
Ann Perkins,Really?,1,1
Leslie Knope,"Yes, we-- I will help you.",1,1
Ann Perkins,Is that a promise?,1,1
Leslie Knope,It's more than a promise.,1,1
Leslie Knope,It's a pinky promise.,1,1
Leslie Knope,"I pinky promise all of you that I will help, and I will go to that location tomorrow, and we will fill in that pit, and then when that's done, we're gonna put a park on the land.",1,1
Ann Perkins,Okay.,1,1
Leslie Knope,"Well, I've worked at the Parks Department for six years, and I've handled a lot of things that I'm proud of.",1,1
Leslie Knope,"Recently, I led a city-wide drive to disinfect the sandbox sand after we had those problems with the cats.",1,1
Leslie Knope,"But this pit, the chance to build a whole new park from scratch, this could be my Hoover Dam.",1,1
Tom Haverford,"No, that sounds great.",1,1
Tom Haverford,"Problem is, anything over 25 dollars I have to report, so maybe give my wife a call and give her the suits, and then if they don't fit her, maybe she'll give them to me.",1,1
Leslie Knope,Morning.,1,1
Tom Haverford,"All right, Mr. Mayor.",1,1
Tom Haverford,That sounds good.,1,1
Tom Haverford,I'll see you on Saturday for the Ultimate Frisbee game.,1,1
Tom Haverford,Bye.,1,1
Tom Haverford,"Leslie, hello.",1,1
Leslie Knope,You were talking to the mayor?,1,1
Tom Haverford,"Yep, we were just rapping about some things.",1,1
Leslie Knope,Tom and I work really well together.,1,1
Leslie Knope,We're both outsiders.,1,1
Leslie Knope,"I'm a woman, he's a... I think he's a Libyan.",1,1
Tom Haverford,"I am from Bennettsville, South Carolina.",1,1
Tom Haverford,I am what you might call a redneck.,1,1
Leslie Knope,"Okay, brainstorm.",1,1
