Character,Line
,Season: 1 Episode: 01
Leslie Knope,Hello.
Leslie Knope,Hi.
Leslie Knope,"My name is Leslie Knope, and I work for the Parks and Recreation Department."
Leslie Knope,Can I ask you a few questions?
Leslie Knope,"Would you say that you are, ""Enjoying yourself and having fun, having a moderate amount of fun and somewhat enjoying yourself, or having no fun and no enjoyment?"""
Leslie Knope,I'm gonna put a lot of fun.
Child,"Ms. Knope, there's a drunk stuck in the slide."
Leslie Knope,"Sir, this is a children's slide."
Leslie Knope,You're not allowed to sleep in here.
Extra,What is?
Leslie Knope,"You know, when I first tell people that I work in the government, they say, ""Oh."""
Leslie Knope,"""The government."""
Leslie Knope,"""The government stinks."""
Leslie Knope,"""The lines are too long at the DMV."""
Leslie Knope,But now things have changed.
Leslie Knope,People need our help.
Leslie Knope,And it feels good to be needed.
Leslie Knope,Could you put your arms to your side?
Leslie Knope,And that might help you slide down a little easier.
Drunk,We don't--
Leslie Knope,Do you want to come this way?
Drunk,Uhuh.
Leslie Knope,"Okay, we're gonna need you to get out."
Drunk,Can you please go away?
Leslie Knope,Get out of the slide.
Leslie Knope,Okay?
Drunk,You're Can you please go away?
Leslie Knope,Here we go!
Leslie Knope,"Okay, wake up."
Leslie Knope,Here we go.
Leslie Knope,Out of the slide.
Leslie Knope,"You know, government isn't just a boys' club anymore."
Leslie Knope,Women are everywhere.
Leslie Knope,It's a great time to be a woman in politics.
Leslie Knope,"Hillary Clinton, Sarah Palin, me, Nancy Pelosi."
Leslie Knope,We did it!
Leslie Knope,"You know, I like to tell people, you know, ""Get on board and buckle up, because my ride's gonna be a big one."""
Leslie Knope,"And if you get motion sickness, you know, put your head between your knees 'cause Leslie Knope's stopping for no one."
Ron Swanson,Tonight is our next monthly community outreach public forum.
Leslie Knope,And that is tonight.
Ron Swanson,That is tonight.
Leslie Knope,Right.
Ron Swanson,Leslie will be running it.
Ron Swanson,And we need one more.
Ron Swanson,Who wants in?
Ron Swanson,Tom.
Tom Haverford,Fine.
Leslie Knope,This is a great thing for you guys to see.
Leslie Knope,This is where the rubber of government meets the road of actual human beings.
Leslie Knope,"When I go through these doors, I need to be on."
Leslie Knope,Like the White House Press Secretary.
Leslie Knope,Are you ready?
Tom Haverford,Yeah.
Leslie Knope,Okay.
Leslie Knope,Here we go.
Leslie Knope,It's locked.
Leslie Knope,Okay.
Leslie Knope,Here we go.
Leslie Knope,Thank you so much for coming.
Leslie Knope,What an amazing turnout.
Leslie Knope,My name is Leslie Knope.
Leslie Knope,"I am the deputy director of the Parks and Recreation Department, and tonight we're gonna be taking some of your questions as--"
Leslie Knope,Hello?
Leslie Knope,We're having a meeting in here.
Tom Haverford,Does anybody have any questions about permits?
Leslie Knope,"So, take two."
Leslie Knope,"I'm Leslie Knope, and with me is department member Tom Haverford."
Leslie Knope,"We are here to answer any and all of your questions, so fire away."
Extra,"Well, it's a great day, because last month they put me in jail."
Extra,That's right.
Extra,The head of the police is a ninth degree Mason.
Extra,But the music is so loud.
Extra,"Stop the graffiti, please."
Extra,Please.
Leslie Knope,I don't like obscenities just as much as you don't like them.
Extra,"No, it drives me crazy."
Extra,I have kids.
Leslie Knope,Right.
Extra,"But I've got my little three year old, I'm going through the park and someone's like, ""Hey [bleep] my [bleep]"" And the guy's, ""You [bleep] my [bleep], you [bleep] head."""
Leslie Knope,"These people are members of a community that care about where they live, so what I hear when I'm being yelled at is people caring loudly at me."
Extra,"Now, I have a few things I want to say about Laura Linney."
Leslie Knope,"Thank you so much, Barry."
Leslie Knope,Always great to have you here.
Leslie Knope,Anyone else who would like to contribute?
Ann Perkins,Hi.
Ann Perkins,"Hi, hi."
Ann Perkins,Hi.
Ann Perkins,I'm Ann Perkins.
Ann Perkins,"I'm a nurse, and frankly, I don't really care for politics, but I'm here to talk about the abandoned lot on Sullivan Street."
Leslie Knope,Excellent.
Leslie Knope,That sounds like a good idea.
Leslie Knope,Tell us about that.
Ann Perkins,"No, it's a problem."
Ann Perkins,It almost killed my boyfriend.
Leslie Knope,Oh.
