Character,1,2,3,4,5,6,7
Character,0,0,0,0,0,0,0
Leslie Knope,8375,27233,15049,21034,19582,20550,12138
Child,9,4,0,0,0,0,0
Extra,619,803,1134,2106,3251,1651,847
Drunk,14,0,0,0,0,0,0
Ron Swanson,1110,6765,4501,5752,5736,6300,4415
Tom Haverford,2218,8395,6356,6766,6643,7147,3388
Ann Perkins,1956,5985,3823,4290,5777,3326,60
Mark Brendanawicz,1578,3404,0,0,0,0,0
Andy Dwyer,1268,6600,4721,5574,5451,4701,3993
April Ludgate,222,3368,2500,3503,4211,4957,3513
Marlene Griggs-Knope,365,163,160,80,97,0,0
Paul,48,332,63,0,0,0,0
Kate Spivack,118,0,0,0,0,0,0
Lawrence,112,19,0,0,0,0,0
Jerry Gergich,149,1092,788,1543,1627,1764,1065
Shauna Malwae-Tweep,442,166,98,98,259,163,4
Donna Meagle,24,601,818,1078,1188,2540,1998
Brian,3,14,0,0,0,0,0
All,2,59,0,23,0,40,27
Salvatore,34,0,0,0,0,0,0
Frank Schnable,43,0,0,0,0,0,0
Janine Restrepo,65,0,0,0,0,0,0
Dr. Harris,74,58,46,98,85,9,0
Nate,15,0,0,0,0,0,0
George Gernway,288,0,0,0,0,0,0
Beth,13,0,0,0,0,0,0
Wendy,18,339,45,0,0,0,0
Burly,4,69,0,12,89,94,49
Bartender,4,24,3,0,0,0,0
Zookeeper,0,25,0,0,0,0,0
Ben,0,78,0,0,0,0,0
Derek,0,216,0,177,0,0,0
Marcia Langman,0,238,229,0,118,0,25
Joan Callamezzo,0,613,345,460,176,269,179
Caller,0,74,14,0,0,0,0
Custodian,0,2,0,0,0,0,0
Phone,0,1,0,0,0,0,0
Dave Sanderson,0,1501,0,767,0,0,0
Tow Person,0,3,0,0,0,0,0
Jessica Wicks,0,303,0,0,225,193,193
Ray Holstead,0,26,0,0,0,0,0
Charles Woliner,0,17,0,0,0,0,0
Announcer,0,172,0,0,0,0,0
Susan Gleever,0,22,0,0,0,0,0
Trish Ianetta,0,152,0,0,0,0,0
Craig,0,5,0,0,0,0,0
Councilman Dexhart,0,391,0,0,24,181,0
Perd Hapley,0,141,298,493,167,297,273
Emcee,0,24,0,0,0,0,0
Raul,0,1064,0,0,0,0,0
Antonio,0,15,0,0,0,0,0
Elvis,0,114,0,0,0,0,0
Mel,0,54,0,49,0,5,0
Gretel,0,68,82,0,14,51,0
Keef,0,216,0,0,0,0,0
Construction Worker,0,4,0,0,0,0,0
Scott Braddock,0,159,0,0,0,0,0
Wendell Adams,0,22,0,0,0,0,0
Greg Pikitis,0,187,0,0,0,11,0
Nurse,0,89,0,12,0,0,0
Greg's Mom,0,154,0,0,0,0,0
Old Gus,0,94,0,0,0,0,0
Tammy 2,0,421,289,111,244,58,199
Waiter,0,55,0,0,0,0,0
Joe From Sewage,0,146,104,56,75,0,0
Kyle,0,41,41,28,0,34,8
Artist,0,37,0,0,0,0,0
Chief Konner,0,67,0,0,0,0,0
Councilman Howser,0,25,0,0,78,26,17
Phone Voice,0,21,0,0,0,0,0
Park Ranger,0,78,0,0,0,0,0
Stranger,0,26,0,0,0,0,0
Background,0,6,0,0,0,0,0
Sierra,0,5,0,0,0,0,0
Alexa Softcastle,0,32,0,0,0,0,0
George MacFayden,0,21,0,0,0,0,0
Justin,0,1061,0,0,0,0,0
Chris,0,677,0,0,0,0,0
Zack,0,5,0,0,0,0,0
Jean-Ralphio Saperstein,0,470,592,809,518,616,267
Tania,0,76,0,0,0,0,0
Chef,0,28,0,0,0,0,0
Maria Portlesman,0,47,0,0,0,0,0
Barney,0,75,0,99,110,206,106
Phil,0,205,0,0,0,0,0
Randall,0,86,0,0,0,0,0
Nick Newport Jr.,0,137,0,0,0,0,0
Commercial,0,14,0,0,0,0,166
Sweetums Employee,0,5,0,0,0,0,0
Marci,0,42,0,0,0,0,0
Chance Frenlm,0,37,25,35,20,32,42
Nick Newport,0,66,0,0,0,0,0
Denver,0,5,0,0,0,0,0
Landlord,0,18,0,0,0,0,0
Frank Beckerson,0,244,0,0,0,0,0
Men's Soccer Coach,0,28,0,0,0,0,0
Ian Winston,0,40,0,0,0,0,0
Freddy,0,77,15,0,0,0,0
Realtor,0,16,0,0,0,0,0
Cindy,0,2,0,0,0,0,0
Elise Yarktin,0,188,0,0,0,0,145
Audience Member,0,5,0,0,0,0,0
Evelyn Rowshlind,0,279,0,0,0,0,0
Eugene,0,19,0,0,0,0,0
Brett,0,20,17,0,184,0,58
Harris,0,16,41,17,185,2,57
Joe Campopiano,0,25,0,0,0,0,0
Mike,0,17,0,0,0,0,0
TV,0,21,0,0,0,0,0
Carl Lorthner,0,514,0,0,0,0,0
David Moser,0,121,0,0,0,0,0
Clarence Carrington,0,104,0,0,0,0,0
Michael Tansley,0,138,0,0,0,0,0
Bobby,0,1,0,0,0,0,0
Bouncer,0,22,0,0,0,0,0
Marta,0,3,0,0,0,0,0
Bill Haggerty,0,74,0,0,0,0,127
Nick Newport Sr.,0,9,0,0,0,0,0
Larry Ludgate,0,35,0,0,0,0,0
Rita Ludgate,0,57,0,0,0,0,0
Detlef Schrempf,0,73,33,19,0,0,0
Martin Housely,0,49,0,0,0,0,0
Denise Yermley,0,13,0,0,0,0,0
Chris Traeger,0,771,4323,5885,5286,3376,80
Ben Wyatt,0,734,4950,7505,7038,8440,4128
Lucy,0,158,99,69,0,0,496
Freddy Spaghetti,0,68,0,0,0,0,0
Florence,0,25,0,0,0,0,0
Kids,0,7,0,0,0,0,0
Chelsea,0,4,0,0,0,0,0
Narrator,0,0,112,0,0,0,0
Everyone,0,0,3,0,0,0,0
Eduardo,0,0,32,0,0,0,0
JJ,0,0,31,0,44,33,128
Kelly Larson,0,0,520,0,0,0,0
Jack Cooper,0,0,52,0,0,0,0
Chief Trumple,0,0,220,81,0,0,0
Cop,0,0,81,0,0,0,0
Crazy Ira,0,0,156,0,39,114,0
The Douche,0,0,275,0,427,154,89
Natalie Ludgate,0,0,46,0,0,0,0
Police Officer,0,0,14,130,0,0,48
Dennis Feinstein,0,0,125,123,446,0,316
Tanya,0,0,29,11,0,0,0
Ken Hotate,0,0,210,0,206,0,137
Ed,0,0,11,0,0,31,32
Elsa Clack,0,0,49,0,0,0,0
Orin,0,0,4,0,23,33,0
Extras,0,0,2,5,0,0,46
Brandi Maxxxx,0,0,90,108,149,0,67
Lindsay Carlisle Shay,0,0,375,0,0,0,0
Bertram Rolands,0,0,29,0,0,23,0
Christine Porter,0,0,36,0,0,0,0
Joey Plunkett,0,0,6,0,0,0,0
Lauren,0,0,63,43,0,0,0
Lauren's Mom,0,0,80,0,0,0,0
Stuart,0,0,10,0,0,0,0
Ethel Beavers,0,0,86,197,88,112,103
William Barnes,0,0,171,367,0,0,0
Elizabeth Barnes,0,0,30,54,0,0,0
Tammy 1,0,0,0,335,0,0,0
Roy Hibbert,0,0,0,43,20,0,0
